Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
58,Male,Single,Finance,Manager,5,7332.0,81,24,12,3,1.0,3.0,2,74,No,9,48,16,4,1,1,49,3,No
48,Female,Divorced,HR,Assistant,4,6069.0,55,18,7,5,1.0,,2,24,Yes,9,57,10,4,1,1,25,1,No
34,Female,Married,Marketing,Manager,4,,65,6,4,3,4.0,5.0,1,63,Yes,3,55,1,1,4,3,21,1,Yes
27,Female,Divorced,HR,Manager,4,18707.0,28,12,9,1,1.0,1.0,2,4,No,9,53,2,3,4,1,46,2,No
40,Male,Married,HR,Analyst,1,16398.0,92,3,9,1,,4.0,3,62,No,1,54,11,1,1,1,43,4,No
58,Male,Married,Finance,Executive,3,7305.0,63,25,2,3,4.0,5.0,3,84,No,1,42,11,2,3,4,4,3,Yes
38,Male,Married,Sales,Executive,5,15697.0,63,3,3,4,,3.0,4,98,No,1,58,16,3,3,4,33,1,Yes
42,Female,Married,,Executive,1,14506.0,41,16,8,0,,4.0,3,75,Yes,3,45,9,2,1,4,3,2,No
30,Female,Married,IT,Analyst,4,18105.0,95,17,10,2,2.0,3.0,3,51,Yes,8,42,4,3,3,1,39,4,No
30,Male,Divorced,Sales,Assistant,4,15745.0,53,16,14,4,1.0,4.0,3,45,Yes,6,41,12,4,2,1,1,4,No
43,Male,Divorced,IT,Manager,3,5601.0,87,13,3,7,1.0,4.0,3,76,Yes,7,58,9,1,4,3,34,4,No
55,Female,Single,Finance,Analyst,4,13023.0,50,25,4,3,,1.0,3,66,Yes,6,43,7,3,1,4,10,2,Yes
59,Female,Married,,Assistant,5,17216.0,24,13,11,5,3.0,1.0,2,75,Yes,1,38,7,1,2,3,47,1,No
43,Female,Single,Finance,Analyst,2,19911.0,18,24,3,3,2.0,3.0,4,46,No,5,56,7,4,2,3,7,1,No
22,Female,Divorced,IT,Analyst,4,4411.0,99,12,12,4,2.0,2.0,2,33,No,7,36,13,4,1,1,22,3,Yes
41,Male,Single,HR,Assistant,3,19773.0,16,29,13,6,4.0,4.0,4,19,Yes,8,49,7,1,4,1,5,3,No
21,Female,Divorced,Finance,Executive,2,,93,2,14,7,2.0,1.0,4,38,Yes,5,41,5,1,4,3,16,2,No
43,Female,Married,Marketing,Manager,5,6792.0,42,26,2,9,,2.0,4,51,No,8,54,5,4,2,4,41,4,No
49,Male,Single,Finance,Executive,5,12569.0,40,14,1,9,4.0,3.0,2,49,No,5,31,8,3,4,3,29,1,No
57,Male,Single,Sales,Analyst,5,3234.0,87,10,3,7,1.0,5.0,2,67,Yes,1,51,2,3,2,3,5,3,No
21,Female,Single,Finance,Assistant,3,19497.0,44,19,9,6,4.0,1.0,2,40,No,5,55,19,1,3,2,30,3,No
40,Male,Single,IT,Analyst,2,18317.0,23,23,14,3,2.0,4.0,3,42,No,1,40,18,1,3,2,34,1,No
52,Female,Married,Finance,Executive,5,6138.0,15,22,8,3,2.0,1.0,1,48,No,4,46,7,4,1,4,27,1,Yes
31,Female,Divorced,Marketing,Executive,4,8159.0,70,24,9,1,2.0,4.0,4,70,No,8,32,6,2,3,1,10,1,No
41,Male,Divorced,Finance,Executive,2,19794.0,70,26,10,8,2.0,,1,46,No,6,52,12,2,4,4,48,4,No
44,Male,Married,Finance,Manager,5,8684.0,90,29,5,5,4.0,3.0,4,56,No,2,37,10,2,4,1,10,1,No
46,Female,Divorced,Marketing,Executive,2,12252.0,75,5,5,2,4.0,3.0,2,66,Yes,3,36,14,4,1,2,23,1,No
47,Male,Single,Finance,Manager,4,3066.0,59,16,14,2,3.0,3.0,4,45,Yes,1,45,18,4,2,1,6,3,No
35,Female,Married,Marketing,Manager,1,9546.0,27,5,8,0,3.0,,1,40,No,6,55,2,4,3,4,27,2,No
34,Female,Divorced,IT,Executive,5,16985.0,28,2,14,1,1.0,3.0,1,76,No,6,42,9,2,2,3,14,3,No
22,Female,Married,Marketing,Assistant,4,11187.0,24,6,13,4,2.0,4.0,4,28,Yes,3,57,12,1,4,2,48,2,Yes
56,Male,Married,IT,Analyst,3,15169.0,31,28,5,8,1.0,4.0,4,40,No,1,34,4,1,3,4,23,3,Yes
26,Female,Divorced,IT,Analyst,5,,31,12,4,2,4.0,5.0,3,84,No,2,55,13,4,2,3,34,2,Yes
40,Female,Divorced,Marketing,Manager,1,13665.0,45,27,9,6,,3.0,3,45,No,1,56,4,1,4,1,17,3,No
28,Female,Married,Finance,Manager,4,7304.0,60,13,1,5,2.0,2.0,1,24,No,3,31,5,1,4,2,34,1,No
58,Male,Married,Sales,Manager,4,5010.0,63,13,6,2,1.0,4.0,3,2,No,3,50,11,4,2,2,31,1,No
37,Female,Divorced,Marketing,Analyst,2,,89,27,7,3,,,3,29,Yes,1,36,0,3,3,3,22,1,No
23,Female,Married,Finance,Manager,5,18537.0,94,21,14,4,,5.0,1,85,Yes,8,35,7,4,1,4,5,1,Yes
44,Female,Divorced,IT,Assistant,1,,32,25,6,1,4.0,4.0,4,1,No,7,46,1,4,2,4,9,3,No
33,Male,Married,HR,Assistant,3,19752.0,89,14,12,7,2.0,1.0,3,8,No,6,54,7,1,4,2,18,4,No
28,Female,Married,Sales,Manager,2,,25,19,10,6,3.0,4.0,2,57,No,7,51,10,4,3,4,21,2,Yes
45,Female,Married,Finance,Analyst,5,19760.0,87,15,8,8,,1.0,2,3,No,2,32,3,1,4,2,45,1,No
21,Male,Divorced,Sales,Executive,1,3002.0,69,21,11,7,4.0,5.0,4,71,No,8,32,16,3,1,2,6,2,No
39,Male,Single,HR,Analyst,2,3763.0,17,3,8,6,,1.0,1,18,No,7,45,12,2,1,2,44,1,No
47,Female,Divorced,HR,Executive,1,18754.0,92,9,5,8,1.0,,1,84,Yes,1,51,8,2,4,3,29,1,No
26,Female,Married,HR,Executive,1,5482.0,30,25,13,9,4.0,4.0,2,13,Yes,8,45,8,1,2,3,19,3,Yes
27,Female,Single,Marketing,Manager,2,13921.0,23,10,12,4,2.0,2.0,3,0,Yes,7,36,3,4,1,2,47,1,No
54,Male,Single,Sales,Assistant,2,16054.0,82,29,13,2,4.0,3.0,1,19,Yes,2,49,14,4,4,1,39,3,No
33,Male,Married,,Manager,5,5475.0,59,7,4,5,4.0,5.0,3,82,Yes,3,42,7,1,1,1,46,1,No
36,Female,Divorced,HR,Executive,2,9049.0,16,14,11,8,2.0,5.0,3,79,Yes,6,36,6,2,1,1,4,1,No
55,Male,Single,Finance,Manager,5,,36,17,7,5,2.0,4.0,4,73,No,6,32,19,3,2,3,44,1,No
59,Female,Single,HR,Executive,1,8997.0,83,25,9,2,4.0,,1,65,Yes,4,48,16,1,2,1,39,1,Yes
23,Female,Divorced,Marketing,Manager,2,10424.0,63,14,13,1,3.0,5.0,2,64,Yes,8,42,19,2,1,4,41,4,No
21,Male,Divorced,HR,Assistant,5,9786.0,35,25,2,4,1.0,4.0,2,7,No,2,49,16,4,3,1,34,4,Yes
25,Female,Single,HR,Assistant,5,16413.0,88,10,12,7,3.0,1.0,2,8,Yes,3,57,12,4,2,4,44,1,Yes
23,Male,Divorced,Marketing,Analyst,3,14084.0,69,5,7,7,2.0,1.0,4,38,Yes,7,47,11,1,2,2,3,3,No
48,Male,Single,Marketing,Executive,5,7465.0,18,27,6,0,1.0,1.0,4,63,No,4,36,11,1,4,2,46,3,No
37,Female,Married,Finance,Executive,5,7946.0,72,18,3,2,1.0,5.0,2,56,No,8,34,1,3,4,2,28,2,No
45,Male,Divorced,Marketing,Manager,3,13514.0,84,29,2,4,4.0,5.0,4,81,Yes,9,38,17,1,2,3,12,3,Yes
53,Female,Single,Finance,Analyst,4,,73,17,1,0,3.0,2.0,2,14,No,6,54,11,3,3,4,10,3,No
29,Male,Divorced,IT,Assistant,2,6661.0,40,18,2,5,2.0,,2,79,No,6,46,17,3,1,1,13,1,No
55,Female,Divorced,IT,Manager,3,5564.0,88,4,12,3,2.0,4.0,3,84,Yes,6,58,7,1,3,4,29,4,Yes
33,Female,Single,Marketing,Analyst,5,7927.0,83,20,5,8,1.0,5.0,2,24,No,8,45,2,3,4,3,46,1,No
50,Female,Married,HR,Assistant,5,13858.0,53,1,1,1,3.0,2.0,1,87,No,2,42,13,1,1,1,23,3,No
